metodo,passo_inicial,iteracoes,raio,semente,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,tempo
FDIPA,0.01,2,49,0,0.307,0.4565,0.5494,0.6068,0.6666,0.7091,0.7447,0.7669,0.7877,0.8038,0.8143,0.8272,0.8357,0.8424,0.8473,0.8519,0.8566,0.8609,0.8666,0.871,0.8738,0.8771,0.8786,0.8807,0.8825,0.8836,0.8848,0.8867,0.8882,0.8909,0.8923,0.894,0.8945,0.8958,0.8971,0.8979,0.8986,0.8998,0.9007,0.9018,0.9023,0.9029,0.9039,0.9036,0.9049,0.9052,0.9047,0.9056,0.9054,0.9057,0.9062,0.9074,0.9079,0.9089,0.9094,0.9102,0.9102,0.9108,0.9111,0.9108,0.9121,0.9125,0.9126,0.9129,0.9125,0.913,0.9132,0.9138,0.9143,0.9139,0.915,0.916,0.9163,0.9167,0.9166,0.9172,0.917,0.9181,0.919,0.9188,0.9191,0.9192,0.9195,0.9204,0.92,0.9201,0.921,0.9216,0.9218,0.9217,0.9221,0.9222,0.923,0.9221,0.9228,0.9228,0.924,0.924,0.924,0.9236,2413.163610458374
FDIPA,0.01,2,49,1,0.1167,0.1919,0.4038,0.5222,0.5497,0.6024,0.6582,0.7105,0.7427,0.7833,0.7996,0.8144,0.8308,0.842,0.8531,0.8607,0.8669,0.8716,0.8757,0.8793,0.8828,0.8855,0.8877,0.8907,0.893,0.8939,0.8962,0.898,0.8994,0.901,0.9021,0.9036,0.9052,0.9049,0.9066,0.9078,0.9085,0.9095,0.9096,0.9108,0.9117,0.9127,0.9135,0.915,0.915,0.9158,0.9171,0.9175,0.9176,0.9185,0.9194,0.9199,0.9202,0.9201,0.9218,0.9218,0.9223,0.9233,0.923,0.9247,0.925,0.9249,0.9248,0.9255,0.9257,0.9259,0.9263,0.9277,0.9273,0.9279,0.9281,0.929,0.9295,0.9294,0.9292,0.93,0.9298,0.9302,0.9306,0.9305,0.9312,0.9312,0.931,0.9321,0.9325,0.9326,0.9329,0.9334,0.9337,0.9341,0.9344,0.9344,0.9344,0.935,0.935,0.9352,0.9347,0.9358,0.9357,0.9361,1535.9435176849365
FDIPA,0.01,2,49,2,0.2929,0.4657,0.5287,0.5959,0.6392,0.6765,0.712,0.7399,0.7669,0.7876,0.8072,0.8195,0.8303,0.8391,0.8456,0.8535,0.8572,0.8606,0.8657,0.8696,0.8735,0.8753,0.8796,0.881,0.8834,0.8842,0.8859,0.8879,0.8892,0.8907,0.8927,0.8951,0.8968,0.8974,0.8982,0.8987,0.8994,0.9004,0.901,0.9018,0.9025,0.9037,0.9047,0.9052,0.9063,0.9072,0.9066,0.9078,0.9089,0.909,0.9094,0.9106,0.9112,0.9115,0.9123,0.9122,0.9127,0.9138,0.9146,0.9148,0.9149,0.915,0.9156,0.9153,0.9159,0.9166,0.9163,0.9164,0.9171,0.9173,0.9181,0.9179,0.9193,0.9193,0.92,0.92,0.9202,0.9204,0.9217,0.921,0.9211,0.9222,0.9223,0.9229,0.9229,0.9233,0.9234,0.9241,0.9245,0.9247,0.9239,0.9251,0.9252,0.9248,0.9256,0.9255,0.9256,0.9261,0.9259,0.9268,779.7968063354492
FDIPA,0.01,2,49,3,0.1146,0.1146,0.1146,0.1146,0.1146,0.1146,0.1146,0.1146,0.1146,0.1146,0.1146,0.1146,0.1146,0.1146,0.1511,0.2137,0.2135,0.2491,0.2862,0.3674,0.4564,0.5193,0.5663,0.5949,0.6194,0.646,0.6603,0.6804,0.6986,0.7122,0.7313,0.7483,0.7608,0.773,0.7853,0.7972,0.8066,0.815,0.8214,0.8283,0.8335,0.8382,0.8435,0.8477,0.8508,0.8561,0.8585,0.8614,0.8642,0.8678,0.8697,0.8715,0.8738,0.8761,0.8775,0.8785,0.8799,0.8812,0.8831,0.8836,0.8848,0.8864,0.888,0.888,0.8888,0.8905,0.8908,0.8922,0.8934,0.8941,0.8949,0.8964,0.897,0.8975,0.8996,0.8999,0.9012,0.9017,0.9038,0.9046,0.9063,0.9071,0.9073,0.9092,0.9099,0.9107,0.912,0.9122,0.9132,0.914,0.9137,0.915,0.9158,0.9171,0.9166,0.9174,0.9182,0.9188,0.92,0.92,1025.7529754638672
FDIPA,0.01,2,49,4,0.1324,0.2368,0.3002,0.3444,0.4169,0.4962,0.5756,0.6458,0.6819,0.7208,0.7523,0.7751,0.7923,0.8078,0.8236,0.8333,0.8406,0.8464,0.8523,0.8557,0.8598,0.864,0.8666,0.8705,0.8733,0.8761,0.8788,0.8823,0.8839,0.8872,0.8883,0.8903,0.8911,0.893,0.8939,0.896,0.8962,0.8972,0.8983,0.9005,0.9014,0.9025,0.9032,0.9041,0.906,0.9066,0.9082,0.9085,0.9105,0.91,0.9113,0.9129,0.9136,0.9151,0.916,0.9159,0.9168,0.9179,0.919,0.92,0.9203,0.9204,0.9212,0.9219,0.9225,0.9224,0.9232,0.9237,0.9244,0.925,0.9252,0.9252,0.9264,0.9263,0.9262,0.9265,0.9268,0.9277,0.9277,0.928,0.9283,0.9282,0.9283,0.9289,0.9292,0.9294,0.9301,0.9305,0.9305,0.931,0.931,0.9309,0.9312,0.9318,0.9317,0.932,0.9319,0.9322,0.9321,0.933,981.459802865982
FDIPA,0.01,2,49,5,0.1122,0.1122,0.1122,0.1122,0.1124,0.1567,0.2217,0.2081,0.2385,0.269,0.2794,0.3866,0.4039,0.4883,0.5793,0.6177,0.6501,0.6848,0.716,0.7321,0.7532,0.7714,0.7887,0.8024,0.8139,0.8238,0.8322,0.837,0.8425,0.8466,0.8502,0.8537,0.856,0.8589,0.8605,0.8637,0.8655,0.8691,0.871,0.8733,0.8751,0.877,0.8787,0.8813,0.8823,0.8846,0.885,0.8868,0.8883,0.8904,0.8914,0.8924,0.8931,0.895,0.8948,0.8961,0.8978,0.8991,0.8999,0.9003,0.9016,0.9025,0.9035,0.9051,0.9059,0.9063,0.9068,0.9078,0.908,0.9091,0.9098,0.9095,0.9109,0.9114,0.9122,0.9124,0.9136,0.9143,0.9155,0.9153,0.9161,0.9168,0.9173,0.9175,0.918,0.9179,0.9185,0.9195,0.9198,0.9199,0.9196,0.9207,0.9207,0.9207,0.9207,0.9211,0.9214,0.9222,0.9219,0.9219,1141.6432876586914
FDIPA,0.01,2,49,6,0.3326,0.4916,0.5534,0.6234,0.6642,0.7092,0.7386,0.7587,0.7831,0.7974,0.8101,0.8205,0.8312,0.8396,0.8494,0.8551,0.8589,0.863,0.8686,0.8724,0.8757,0.8778,0.8807,0.8829,0.8845,0.8865,0.8877,0.8888,0.89,0.8922,0.8936,0.8942,0.8971,0.8979,0.8997,0.9005,0.9012,0.9022,0.903,0.9044,0.9048,0.9048,0.9051,0.9065,0.9075,0.908,0.9092,0.9097,0.9102,0.9108,0.9111,0.9121,0.9123,0.9133,0.9134,0.9142,0.9152,0.9151,0.9154,0.9157,0.9161,0.9164,0.9164,0.917,0.9175,0.9177,0.9182,0.9181,0.919,0.9191,0.9192,0.9195,0.9204,0.9203,0.9212,0.9216,0.922,0.9225,0.9227,0.923,0.9235,0.9244,0.9246,0.9255,0.9248,0.9255,0.9258,0.9261,0.9262,0.9266,0.927,0.9268,0.9277,0.9284,0.9289,0.9288,0.929,0.9287,0.929,0.9295,1074.567239522934
FDIPA,0.01,2,49,7,0.2964,0.4279,0.4888,0.544,0.6033,0.642,0.702,0.7346,0.7668,0.7858,0.8039,0.8161,0.827,0.8369,0.8444,0.8502,0.8561,0.8598,0.8633,0.8677,0.8715,0.8743,0.8769,0.8792,0.8836,0.8855,0.887,0.8897,0.8915,0.8929,0.8946,0.8958,0.8977,0.8993,0.9006,0.9016,0.902,0.9031,0.9051,0.9064,0.9079,0.9083,0.9093,0.9102,0.9109,0.9118,0.9117,0.9136,0.9142,0.9149,0.9154,0.916,0.9174,0.9172,0.9176,0.9182,0.9185,0.9184,0.9189,0.9194,0.9202,0.9205,0.9208,0.9212,0.9213,0.922,0.9229,0.923,0.9237,0.9241,0.924,0.9248,0.9252,0.9255,0.926,0.9264,0.9273,0.9277,0.9272,0.9273,0.9278,0.9284,0.9288,0.9291,0.9292,0.9293,0.9297,0.9295,0.9298,0.9301,0.9301,0.9306,0.9308,0.9305,0.9312,0.9313,0.932,0.9316,0.9326,0.9325,1331.0196912288666
FDIPA,0.01,2,49,8,0.2679,0.4447,0.5448,0.6222,0.6802,0.7234,0.752,0.7781,0.797,0.8104,0.8219,0.8314,0.8382,0.8438,0.8519,0.8562,0.8601,0.8644,0.8686,0.8715,0.8738,0.8764,0.8789,0.8811,0.8836,0.8841,0.8856,0.8869,0.8884,0.8893,0.8901,0.892,0.8929,0.8942,0.8954,0.8974,0.898,0.8991,0.9007,0.9012,0.9022,0.9032,0.9035,0.9047,0.9057,0.9062,0.9066,0.9071,0.9078,0.9087,0.9096,0.9105,0.9104,0.9109,0.9123,0.9132,0.9135,0.9142,0.9143,0.9142,0.915,0.9149,0.9159,0.9163,0.9163,0.9167,0.9169,0.9172,0.9171,0.9175,0.9179,0.9181,0.9182,0.9186,0.9186,0.9186,0.9189,0.9191,0.9195,0.9202,0.9201,0.9206,0.9208,0.921,0.9214,0.9214,0.9218,0.9228,0.9224,0.9225,0.923,0.9232,0.9232,0.9235,0.9238,0.9239,0.9243,0.9242,0.9249,0.9248,999.6334795951843
FDIPA,0.01,2,49,9,0.1134,0.1393,0.3369,0.3648,0.3699,0.4591,0.5361,0.6053,0.659,0.6775,0.7137,0.7352,0.7616,0.7858,0.8033,0.8151,0.8268,0.8333,0.8398,0.8446,0.8477,0.8503,0.8544,0.8584,0.8619,0.8652,0.8686,0.8705,0.8748,0.8778,0.8793,0.8809,0.8835,0.8862,0.8873,0.8884,0.8916,0.893,0.8948,0.8972,0.8979,0.8999,0.901,0.9023,0.9036,0.905,0.9061,0.9077,0.9083,0.9089,0.9106,0.9114,0.9119,0.9118,0.9138,0.9139,0.9143,0.9149,0.9154,0.9163,0.9163,0.9167,0.9177,0.9175,0.9178,0.9191,0.9188,0.9202,0.9207,0.921,0.9216,0.9223,0.9229,0.9237,0.9239,0.924,0.9246,0.9247,0.9253,0.9254,0.9262,0.9263,0.9265,0.927,0.9272,0.9272,0.928,0.9278,0.9287,0.9288,0.9283,0.9297,0.9295,0.9288,0.9299,0.9296,0.9304,0.9304,0.931,0.9314,1262.6331369876862
