metodo,passo_inicial,iteracoes,raio,semente,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,tempo
FDIPA,0.01,2,49,0,0.30534,0.45316,0.54708,0.6098,0.6663,0.70532,0.74382,0.76756,0.78816,0.80514,0.81644,0.82698,0.83762,0.84512,0.85048,0.85596,0.8609,0.86564,0.86916,0.87304,0.87642,0.87918,0.88168,0.88354,0.88588,0.88838,0.89026,0.89202,0.89392,0.89602,0.89746,0.89882,0.89968,0.90128,0.90256,0.9036,0.90496,0.90656,0.90796,0.90886,0.9097,0.91056,0.91114,0.9124,0.91326,0.9145,0.91534,0.91586,0.91694,0.91742,0.91836,0.91884,0.9194,0.92046,0.92044,0.9217,0.92196,0.92248,0.92304,0.92394,0.92496,0.92556,0.9261,0.9269,0.92724,0.9277,0.92834,0.9288,0.92906,0.92972,0.92978,0.93044,0.93068,0.93118,0.93154,0.93182,0.93216,0.9327,0.93316,0.93362,0.93406,0.93448,0.93482,0.9353,0.93546,0.93594,0.93594,0.9365,0.93694,0.93742,0.9376,0.93772,0.93802,0.93848,0.93872,0.93922,0.9394,0.93974,0.94008,0.94046,2413.163610458374
FDIPA,0.01,2,49,1,0.11668,0.1923,0.4041,0.52108,0.5487,0.60686,0.6584,0.70822,0.74112,0.7815,0.79876,0.81418,0.83084,0.84122,0.85108,0.85848,0.86592,0.8718,0.87588,0.8801,0.884,0.8869,0.89018,0.89274,0.89512,0.8975,0.89972,0.90188,0.90344,0.90504,0.90702,0.90834,0.91004,0.91166,0.91306,0.91464,0.91552,0.9165,0.91768,0.91838,0.91956,0.92042,0.92166,0.92236,0.92346,0.92422,0.92526,0.92612,0.9269,0.92748,0.92836,0.92912,0.92932,0.9299,0.93048,0.93106,0.93192,0.93246,0.93312,0.93384,0.93406,0.93476,0.9354,0.93584,0.9364,0.93666,0.93736,0.93796,0.93848,0.9392,0.93962,0.9399,0.94036,0.9408,0.9413,0.94146,0.94196,0.94228,0.94262,0.94354,0.9439,0.94428,0.94454,0.94498,0.9452,0.94574,0.94568,0.94594,0.94642,0.94686,0.94738,0.9475,0.94792,0.94842,0.94876,0.949,0.9492,0.94942,0.9498,0.95012,1535.9435176849365
FDIPA,0.01,2,49,2,0.3018,0.4676,0.53238,0.60094,0.6423,0.6773,0.7116,0.73864,0.76378,0.7849,0.80422,0.81982,0.83072,0.83964,0.84798,0.85444,0.85942,0.86416,0.86828,0.87202,0.87584,0.87918,0.88202,0.8849,0.88704,0.8897,0.89188,0.89382,0.89544,0.8975,0.89944,0.90078,0.9023,0.90408,0.9054,0.90672,0.9076,0.90886,0.9097,0.91108,0.91186,0.91314,0.91412,0.91536,0.9165,0.91732,0.91824,0.9191,0.92006,0.92094,0.92176,0.92242,0.92346,0.92414,0.92462,0.92518,0.92598,0.92638,0.92698,0.92758,0.9283,0.9288,0.9294,0.92994,0.93054,0.93098,0.93198,0.93218,0.93276,0.93342,0.93374,0.934,0.93468,0.93518,0.93558,0.93602,0.9366,0.93678,0.9374,0.93796,0.93808,0.93848,0.9389,0.93916,0.93956,0.93976,0.94028,0.94056,0.94096,0.94132,0.9416,0.9421,0.9423,0.94262,0.94278,0.94334,0.94342,0.94384,0.944,0.9443,779.7968063354492
FDIPA,0.01,2,49,3,0.11244,0.11244,0.11244,0.11244,0.11244,0.11244,0.11244,0.11244,0.11244,0.11244,0.11244,0.11244,0.11244,0.11244,0.14852,0.21436,0.21252,0.24854,0.28688,0.36622,0.45052,0.52206,0.56654,0.59634,0.6198,0.64516,0.6584,0.67882,0.69692,0.71,0.72802,0.74408,0.75836,0.7703,0.78316,0.79518,0.80362,0.81354,0.82106,0.82738,0.83428,0.83982,0.84548,0.85012,0.85348,0.8573,0.86016,0.86446,0.86718,0.86988,0.87282,0.87562,0.87758,0.8799,0.88206,0.88422,0.88566,0.8877,0.8886,0.89032,0.89202,0.8936,0.8951,0.89658,0.8977,0.8992,0.9002,0.90144,0.90278,0.9039,0.90538,0.90628,0.9072,0.90836,0.90954,0.91066,0.91172,0.91296,0.91384,0.91524,0.91594,0.91674,0.9178,0.91848,0.91958,0.92064,0.9212,0.9221,0.92284,0.92372,0.92468,0.92506,0.92598,0.9266,0.92724,0.92782,0.9285,0.9293,0.92998,0.93046,1025.7529754638672
FDIPA,0.01,2,49,4,0.13184,0.2362,0.30066,0.34162,0.41514,0.49566,0.57408,0.64494,0.68414,0.72286,0.75746,0.78342,0.79984,0.8165,0.83052,0.84002,0.84756,0.85452,0.86036,0.86598,0.86972,0.8739,0.87672,0.88028,0.8833,0.88632,0.88852,0.89098,0.89324,0.8952,0.89732,0.89914,0.90128,0.90274,0.90474,0.90598,0.90766,0.90944,0.91058,0.91232,0.91376,0.91506,0.91584,0.91696,0.91814,0.9188,0.92014,0.92104,0.92238,0.92308,0.92426,0.9252,0.92584,0.92672,0.92752,0.92826,0.92928,0.92972,0.93082,0.93144,0.9322,0.9327,0.93316,0.93376,0.93458,0.9349,0.935,0.93582,0.93632,0.93676,0.93728,0.93778,0.93824,0.93864,0.9394,0.93954,0.93988,0.94048,0.94056,0.94108,0.94106,0.94202,0.94224,0.94254,0.9425,0.94314,0.9435,0.94374,0.94406,0.94436,0.94492,0.94534,0.94528,0.9458,0.9463,0.94624,0.9468,0.94712,0.94752,0.9475,981.459802865982
FDIPA,0.01,2,49,5,0.11218,0.11218,0.11218,0.11218,0.11244,0.15762,0.22226,0.20838,0.24276,0.2709,0.28338,0.39,0.40908,0.49364,0.58716,0.62754,0.6617,0.69284,0.72642,0.74404,0.7675,0.7826,0.7993,0.8131,0.82456,0.83366,0.8418,0.84794,0.85288,0.85906,0.86282,0.86646,0.86966,0.87282,0.87604,0.87866,0.88134,0.88392,0.88604,0.88802,0.89036,0.89238,0.89444,0.89628,0.89766,0.89942,0.90088,0.90252,0.90418,0.90538,0.90698,0.90802,0.90906,0.91046,0.9115,0.91258,0.91382,0.91516,0.91642,0.91734,0.9186,0.91952,0.92064,0.92172,0.92238,0.92342,0.92426,0.92516,0.92618,0.92702,0.92772,0.92832,0.9293,0.93016,0.9306,0.93122,0.932,0.93266,0.93298,0.93378,0.9345,0.9349,0.93556,0.93596,0.93702,0.93726,0.93766,0.93822,0.93894,0.93946,0.93986,0.94038,0.941,0.94128,0.94176,0.9422,0.94256,0.94324,0.9436,0.94422,1141.6432876586914
FDIPA,0.01,2,49,6,0.33758,0.49192,0.55574,0.6236,0.66564,0.70888,0.74024,0.76278,0.78566,0.80216,0.8169,0.83128,0.8407,0.85026,0.85738,0.86362,0.86894,0.8735,0.87802,0.88174,0.88446,0.88748,0.88988,0.8923,0.89418,0.89612,0.8981,0.89984,0.90164,0.90346,0.90532,0.90682,0.90806,0.9095,0.91094,0.91232,0.91328,0.91422,0.91502,0.91622,0.91736,0.9183,0.91908,0.91984,0.92098,0.922,0.92244,0.92376,0.92404,0.92482,0.9255,0.9263,0.92706,0.92778,0.92828,0.92922,0.92956,0.93024,0.93062,0.9312,0.93208,0.93248,0.9332,0.93376,0.9339,0.9347,0.93536,0.93598,0.93664,0.93664,0.93732,0.93746,0.93804,0.93858,0.93882,0.93946,0.93968,0.94036,0.9407,0.94122,0.94182,0.94226,0.94264,0.9431,0.9436,0.9444,0.94478,0.94512,0.94546,0.94586,0.94624,0.94644,0.9473,0.94768,0.94788,0.9483,0.9487,0.94908,0.94924,0.94976,1074.567239522934
FDIPA,0.01,2,49,7,0.29404,0.42668,0.48744,0.54056,0.60078,0.64276,0.7042,0.73976,0.76704,0.78874,0.80726,0.82116,0.83332,0.84336,0.8507,0.85598,0.86224,0.86658,0.87022,0.87418,0.8773,0.8804,0.88318,0.88538,0.88822,0.8907,0.89298,0.89546,0.89722,0.89918,0.90086,0.90268,0.90404,0.90556,0.90702,0.90846,0.90966,0.91118,0.91268,0.91394,0.91528,0.9163,0.91716,0.91852,0.91948,0.92024,0.92082,0.9221,0.92284,0.92402,0.9246,0.92566,0.92628,0.92694,0.9277,0.92846,0.92898,0.9296,0.93042,0.93086,0.93172,0.93204,0.93246,0.93308,0.93406,0.93456,0.93506,0.9356,0.93592,0.93648,0.93686,0.93752,0.93826,0.93862,0.93914,0.93978,0.9401,0.94066,0.94088,0.94146,0.94172,0.94232,0.94258,0.943,0.94322,0.94352,0.94368,0.94428,0.9445,0.945,0.94552,0.9457,0.94628,0.94646,0.9468,0.94704,0.94758,0.94788,0.94862,0.94884,1331.0196912288666
FDIPA,0.01,2,49,8,0.2681,0.44542,0.54798,0.6242,0.68088,0.72038,0.75086,0.77774,0.79524,0.80996,0.82298,0.8337,0.84162,0.84916,0.8544,0.85954,0.8646,0.86878,0.87236,0.87578,0.8788,0.88184,0.88428,0.88626,0.88858,0.8906,0.89202,0.89384,0.89532,0.8964,0.89758,0.8994,0.9009,0.90224,0.90338,0.9053,0.90628,0.90736,0.90814,0.90928,0.91022,0.91076,0.91202,0.91262,0.91356,0.91404,0.91496,0.91564,0.9164,0.91756,0.91814,0.91888,0.91984,0.92044,0.92106,0.92196,0.92248,0.9229,0.92358,0.9243,0.92508,0.9256,0.92604,0.9269,0.92742,0.92802,0.9285,0.92914,0.92982,0.93,0.93064,0.93124,0.9316,0.93202,0.93242,0.93282,0.9335,0.93406,0.93438,0.93458,0.93554,0.93562,0.93596,0.93626,0.93666,0.93714,0.93742,0.93786,0.93818,0.93838,0.93858,0.9389,0.9394,0.93986,0.94002,0.9404,0.94064,0.94122,0.94168,0.94198,999.6334795951843
FDIPA,0.01,2,49,9,0.1122,0.1383,0.33756,0.36202,0.367,0.45684,0.53814,0.60872,0.66306,0.68212,0.71622,0.739,0.76354,0.78616,0.80432,0.81476,0.82806,0.83546,0.84296,0.84926,0.85402,0.85786,0.86226,0.86494,0.86826,0.87206,0.87544,0.8783,0.88128,0.88378,0.8862,0.88862,0.8913,0.89334,0.8951,0.8969,0.89864,0.90014,0.90234,0.90378,0.90568,0.90758,0.9088,0.9103,0.91202,0.91316,0.91506,0.916,0.91732,0.91824,0.91942,0.92102,0.92162,0.92256,0.92372,0.92488,0.92612,0.92648,0.92726,0.9282,0.92886,0.92974,0.93036,0.93106,0.93162,0.93214,0.93258,0.9332,0.93348,0.93408,0.93462,0.93512,0.9358,0.93598,0.93668,0.93704,0.93756,0.9382,0.93852,0.93896,0.93942,0.9398,0.9406,0.94094,0.94102,0.94164,0.94194,0.94222,0.94272,0.943,0.94334,0.94338,0.944,0.94416,0.94474,0.9453,0.94564,0.9459,0.9462,0.9463,1262.6331369876862
