metodo,passo_inicial,iteracoes,raio,semente,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,tempo
FDIPA,0.23111951,1,49,0,0.8217,0.8795,0.8994,0.9057,0.9116,0.9159,0.9206,0.9259,0.9282,0.9285,0.9317,0.9359,0.9357,0.9377,0.9379,0.9395,0.9406,0.9411,0.9419,0.9433,0.9439,0.9427,0.9427,0.9431,0.9432,0.9436,0.944,0.9431,0.9447,0.9445,0.9455,0.9465,0.944,0.943,0.9456,0.9449,0.9467,0.9451,0.9462,0.946,0.9449,0.946,0.9453,0.9472,0.9449,0.9465,0.9471,0.946,0.9467,0.9466,0.948,0.9464,0.9482,0.9471,0.9472,0.9482,0.9476,0.948,0.948,0.9471,0.948,0.9475,0.9481,0.9481,0.9483,0.9499,0.9481,0.9497,0.9496,0.9485,0.9494,0.9483,0.9502,0.95,0.9505,0.9493,0.9495,0.9493,0.9504,0.9504,0.9498,0.9493,0.949,0.9506,0.9494,0.95,0.9506,0.949,0.95,0.95,0.9507,0.9507,0.9503,0.9505,0.9514,0.951,0.9506,0.9511,0.9494,0.9506,625.1763970851898
FDIPA,0.23111951,1,49,1,0.7973,0.8892,0.9041,0.9142,0.9201,0.9246,0.9274,0.9305,0.9322,0.9341,0.9355,0.9372,0.9389,0.9396,0.9391,0.9392,0.941,0.942,0.9429,0.9431,0.9445,0.9443,0.9438,0.9462,0.9451,0.9466,0.9467,0.9479,0.9465,0.9476,0.9493,0.9471,0.9474,0.9473,0.948,0.9502,0.9493,0.9493,0.9503,0.9509,0.9495,0.9501,0.9493,0.9489,0.9502,0.9513,0.949,0.9497,0.9512,0.9496,0.9514,0.95,0.9502,0.949,0.9509,0.9496,0.9514,0.9519,0.951,0.9515,0.9521,0.9519,0.9514,0.9515,0.9504,0.9502,0.9512,0.9515,0.9516,0.9523,0.9514,0.9521,0.9523,0.9521,0.9525,0.9521,0.951,0.9512,0.9512,0.9518,0.952,0.9527,0.9519,0.9512,0.9516,0.9529,0.9527,0.9537,0.9526,0.9522,0.9524,0.9512,0.9513,0.9532,0.9523,0.9517,0.9518,0.9522,0.9527,0.9529,676.8615050315857
FDIPA,0.23111951,1,49,2,0.8091,0.8791,0.8989,0.9078,0.9138,0.9202,0.9243,0.9252,0.9303,0.9306,0.9323,0.9337,0.9355,0.9359,0.9369,0.9392,0.9387,0.9401,0.9405,0.9412,0.9402,0.9406,0.942,0.9427,0.9421,0.942,0.9432,0.9423,0.9421,0.943,0.9424,0.9443,0.9426,0.9433,0.9446,0.9439,0.9447,0.9449,0.9428,0.9442,0.9441,0.9455,0.9445,0.9445,0.9449,0.9444,0.9456,0.9455,0.9454,0.9451,0.9444,0.9453,0.9442,0.9464,0.9449,0.9458,0.9452,0.9445,0.9449,0.9458,0.9445,0.9445,0.9445,0.9461,0.9456,0.9467,0.9458,0.9451,0.9465,0.9451,0.9455,0.9441,0.9455,0.9464,0.9463,0.9462,0.9437,0.945,0.9463,0.9462,0.9452,0.9459,0.945,0.9455,0.9458,0.9453,0.946,0.9476,0.9464,0.9465,0.9463,0.9457,0.9472,0.9459,0.9459,0.9473,0.947,0.9471,0.9478,0.9475,689.4368929862976
FDIPA,0.23111951,1,49,3,0.1146,0.489,0.7596,0.8428,0.8723,0.8838,0.894,0.9023,0.9093,0.9155,0.919,0.9213,0.9234,0.9249,0.9275,0.929,0.9285,0.9316,0.9326,0.9326,0.9351,0.936,0.9353,0.9377,0.9381,0.9374,0.9388,0.9384,0.9401,0.94,0.9405,0.9389,0.9406,0.9401,0.9412,0.9412,0.9416,0.9416,0.9423,0.9421,0.9414,0.9421,0.9419,0.9422,0.9424,0.9437,0.9435,0.9427,0.9429,0.9444,0.9447,0.9437,0.9456,0.9449,0.9452,0.9438,0.9441,0.9456,0.9452,0.9461,0.9443,0.946,0.9444,0.945,0.9454,0.9452,0.947,0.9457,0.9464,0.9473,0.9473,0.9463,0.9453,0.9468,0.9472,0.9467,0.9465,0.9478,0.9485,0.9478,0.9466,0.9476,0.9464,0.947,0.9485,0.9465,0.9482,0.9482,0.9482,0.9479,0.9481,0.948,0.9484,0.9483,0.9478,0.9478,0.9482,0.9476,0.948,0.9481,592.2965910434723
FDIPA,0.23111951,1,49,4,0.7367,0.8591,0.8895,0.9,0.9118,0.9172,0.9207,0.9226,0.9252,0.9278,0.9306,0.9325,0.9331,0.9341,0.9339,0.9353,0.9365,0.9382,0.9385,0.9388,0.9394,0.9391,0.9393,0.9411,0.9403,0.9401,0.9411,0.9419,0.9427,0.9433,0.9423,0.9444,0.943,0.9438,0.9434,0.9446,0.9433,0.9443,0.9447,0.9448,0.9457,0.9463,0.9451,0.9451,0.9464,0.946,0.946,0.9453,0.9463,0.9454,0.9454,0.9468,0.9468,0.945,0.9467,0.9462,0.9465,0.9465,0.9468,0.9466,0.9476,0.9472,0.9463,0.9462,0.947,0.9467,0.9464,0.9463,0.9474,0.9468,0.9458,0.9475,0.948,0.9471,0.9477,0.9468,0.9482,0.9482,0.9473,0.9481,0.9481,0.9481,0.9479,0.9483,0.9482,0.9482,0.9487,0.9486,0.9476,0.9491,0.9495,0.9499,0.9491,0.9488,0.9493,0.9497,0.947,0.949,0.9482,0.9497,717.1552743911743
FDIPA,0.23111951,1,49,5,0.2724,0.776,0.8501,0.8734,0.8897,0.8976,0.905,0.9114,0.9134,0.917,0.9199,0.9213,0.921,0.9255,0.9261,0.9278,0.9277,0.9286,0.9283,0.93,0.9322,0.9314,0.9315,0.9314,0.9324,0.9323,0.9338,0.9353,0.9351,0.9348,0.9372,0.9378,0.938,0.9365,0.9377,0.9373,0.9372,0.9388,0.9398,0.9386,0.9399,0.9398,0.9407,0.94,0.9407,0.9404,0.9411,0.9396,0.941,0.9403,0.9411,0.939,0.9403,0.9407,0.9404,0.9401,0.9415,0.942,0.9422,0.9413,0.9414,0.9425,0.9425,0.9426,0.9421,0.9431,0.9425,0.9427,0.9429,0.9433,0.9426,0.9415,0.9432,0.9416,0.9425,0.9423,0.9421,0.9423,0.9427,0.9437,0.9428,0.9427,0.9439,0.9433,0.9431,0.9431,0.9427,0.9432,0.9427,0.9431,0.9429,0.9422,0.9427,0.9427,0.9435,0.9438,0.943,0.9434,0.944,0.9431,534.9596381187439
FDIPA,0.23111951,1,49,6,0.8109,0.8802,0.8982,0.9099,0.9156,0.9185,0.9245,0.9274,0.9302,0.9316,0.934,0.9354,0.9372,0.9378,0.9377,0.9385,0.9397,0.9392,0.9387,0.9402,0.941,0.9425,0.9401,0.9403,0.9414,0.9405,0.9428,0.9429,0.9431,0.9428,0.9424,0.942,0.9431,0.9429,0.9438,0.9428,0.9425,0.9416,0.944,0.9436,0.9438,0.9438,0.9434,0.9436,0.9443,0.9446,0.9448,0.9456,0.9455,0.9459,0.9455,0.9449,0.9453,0.946,0.9471,0.9458,0.9453,0.9453,0.9452,0.9461,0.9467,0.9472,0.9462,0.9465,0.9479,0.9473,0.9468,0.9469,0.9467,0.9468,0.948,0.9474,0.9476,0.9459,0.9475,0.9488,0.947,0.9476,0.947,0.9472,0.9466,0.9474,0.947,0.9479,0.9491,0.9485,0.9494,0.9474,0.9476,0.9492,0.9481,0.9474,0.9492,0.9484,0.9497,0.9489,0.9488,0.9487,0.9478,0.9491,519.9783761501312
FDIPA,0.23111951,1,49,7,0.7999,0.8762,0.8986,0.9091,0.9185,0.9221,0.9264,0.9282,0.9329,0.9336,0.9354,0.9366,0.9365,0.9389,0.9393,0.9387,0.9395,0.9415,0.9411,0.9411,0.941,0.9436,0.9418,0.9412,0.9414,0.9431,0.9431,0.9432,0.942,0.9424,0.9435,0.9445,0.9448,0.9432,0.944,0.9444,0.9431,0.9446,0.9437,0.9449,0.9444,0.9435,0.9461,0.9458,0.9457,0.9453,0.9453,0.9454,0.9448,0.9453,0.9465,0.9469,0.9445,0.9454,0.9442,0.9457,0.9456,0.9458,0.9468,0.9458,0.9463,0.9461,0.9477,0.9481,0.947,0.9463,0.9461,0.9478,0.9475,0.9458,0.9479,0.9475,0.9481,0.9461,0.9467,0.9458,0.9472,0.9469,0.9485,0.9472,0.9469,0.9473,0.9467,0.9468,0.9468,0.9472,0.9471,0.9469,0.9482,0.9478,0.947,0.9478,0.9476,0.9472,0.9474,0.947,0.9481,0.9476,0.9471,0.9472,523.6421205997467
FDIPA,0.23111951,1,49,8,0.8241,0.8769,0.8959,0.9063,0.9146,0.9182,0.9224,0.9242,0.9284,0.9313,0.9326,0.9345,0.9357,0.9368,0.9396,0.9396,0.9398,0.9419,0.9427,0.944,0.9431,0.9446,0.9454,0.9458,0.9455,0.9466,0.9443,0.9468,0.9438,0.9471,0.9458,0.9463,0.9471,0.9472,0.9479,0.947,0.9477,0.9478,0.9461,0.9487,0.9483,0.9481,0.9472,0.9487,0.9493,0.9492,0.9501,0.9511,0.949,0.9504,0.9504,0.9512,0.9497,0.9486,0.9477,0.9493,0.9504,0.9498,0.9497,0.9494,0.9495,0.9495,0.9485,0.9497,0.9499,0.95,0.9496,0.95,0.951,0.9509,0.9503,0.9506,0.9501,0.9503,0.9501,0.9505,0.9499,0.95,0.9505,0.9513,0.9499,0.9499,0.9514,0.951,0.9492,0.9503,0.9512,0.9503,0.9504,0.9505,0.9504,0.9505,0.9511,0.9508,0.9493,0.9519,0.9519,0.9506,0.9499,0.9511,522.7386662960052
FDIPA,0.23111951,1,49,9,0.7201,0.8486,0.8794,0.8967,0.9071,0.914,0.9185,0.9224,0.9242,0.9277,0.9293,0.9305,0.9313,0.9329,0.9339,0.9361,0.9353,0.9361,0.9383,0.9388,0.9381,0.9408,0.9388,0.9402,0.9409,0.9411,0.9411,0.9428,0.9412,0.9424,0.943,0.9441,0.9424,0.9442,0.9442,0.9442,0.9458,0.9445,0.9441,0.9443,0.9446,0.9452,0.9443,0.9451,0.9464,0.9456,0.945,0.9464,0.9459,0.946,0.946,0.9457,0.946,0.9459,0.9464,0.9448,0.9465,0.9462,0.9458,0.9473,0.9458,0.9455,0.9469,0.9469,0.9471,0.9471,0.9465,0.9459,0.9468,0.9464,0.9491,0.9469,0.9466,0.9479,0.948,0.947,0.9477,0.9479,0.9481,0.9484,0.9471,0.9469,0.9487,0.9492,0.9473,0.9474,0.9472,0.9477,0.9476,0.9476,0.9468,0.9475,0.9475,0.9491,0.948,0.9468,0.9494,0.947,0.9485,0.9479,518.6576173305511
