metodo,passo_inicial,iteracoes,raio,semente,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,tempo
FDIPA,0.23111951,1,49,0,0.82238,0.88222,0.90386,0.9144,0.92262,0.92926,0.93476,0.93836,0.94238,0.94438,0.94746,0.94966,0.95114,0.95248,0.95312,0.9543,0.9552,0.95476,0.95606,0.95614,0.95606,0.9564,0.95616,0.95628,0.9561,0.9565,0.95722,0.95564,0.95702,0.95636,0.95638,0.95752,0.9562,0.95624,0.95654,0.95804,0.95808,0.95778,0.95824,0.95704,0.95846,0.95824,0.95812,0.95836,0.95854,0.95872,0.959,0.9591,0.959,0.9586,0.95942,0.95942,0.95998,0.95978,0.95862,0.96016,0.96012,0.96052,0.96048,0.96002,0.96008,0.96114,0.96092,0.96022,0.9618,0.96008,0.96126,0.96116,0.96176,0.96042,0.96182,0.96154,0.96146,0.96168,0.96184,0.96168,0.9619,0.96178,0.96242,0.96238,0.96214,0.96222,0.96252,0.96272,0.96268,0.96114,0.96292,0.9625,0.96224,0.96274,0.96322,0.96254,0.96268,0.963,0.9627,0.96252,0.96322,0.9628,0.96242,0.96328,625.1763970851898
FDIPA,0.23111951,1,49,1,0.79336,0.88802,0.9089,0.92026,0.92662,0.93234,0.9362,0.9407,0.94206,0.94416,0.9466,0.94794,0.9487,0.94956,0.9502,0.9518,0.95176,0.9535,0.95408,0.95386,0.9557,0.95552,0.95594,0.95728,0.95702,0.95802,0.95756,0.95844,0.95804,0.95916,0.95932,0.95874,0.95946,0.95904,0.9598,0.9603,0.96032,0.96092,0.96098,0.96086,0.962,0.96174,0.96212,0.96188,0.96224,0.96176,0.96196,0.96252,0.96286,0.96192,0.96216,0.96272,0.96322,0.96244,0.9619,0.96136,0.96306,0.96286,0.96358,0.96354,0.96256,0.96338,0.9632,0.96356,0.96286,0.9632,0.96298,0.96316,0.96286,0.96356,0.96416,0.96348,0.9645,0.96362,0.9635,0.96492,0.96428,0.96354,0.96338,0.9648,0.96332,0.96518,0.96498,0.96356,0.96428,0.96468,0.96402,0.96424,0.96322,0.96426,0.96516,0.96452,0.9644,0.96396,0.96592,0.9644,0.96554,0.96452,0.96554,0.96488,676.8615050315857
FDIPA,0.23111951,1,49,2,0.80802,0.88262,0.90528,0.91806,0.92688,0.93288,0.93794,0.94148,0.94444,0.94784,0.94966,0.95036,0.95228,0.95392,0.95522,0.95562,0.9549,0.9567,0.95698,0.95706,0.9569,0.95754,0.95852,0.95858,0.95798,0.95832,0.9582,0.95868,0.95818,0.95868,0.95846,0.95944,0.95856,0.95948,0.95968,0.95982,0.96026,0.9602,0.95956,0.96,0.96016,0.96128,0.9608,0.96066,0.96166,0.96198,0.96102,0.9612,0.96082,0.9619,0.96132,0.9611,0.962,0.96226,0.96198,0.96122,0.9618,0.96218,0.96206,0.9615,0.96174,0.96194,0.96226,0.96192,0.96198,0.96212,0.96226,0.9629,0.96306,0.96226,0.96304,0.96152,0.9631,0.96274,0.96246,0.96284,0.96164,0.96344,0.96334,0.96308,0.96198,0.96338,0.96326,0.96284,0.9634,0.96372,0.96322,0.96422,0.96428,0.96376,0.96362,0.96404,0.96354,0.9637,0.9641,0.9639,0.9638,0.9636,0.9635,0.96448,689.4368929862976
FDIPA,0.23111951,1,49,3,0.11244,0.49244,0.75378,0.84464,0.8747,0.89054,0.8999,0.90918,0.91768,0.92444,0.92868,0.93254,0.93316,0.9371,0.9395,0.94208,0.94256,0.9439,0.94624,0.94648,0.94808,0.94898,0.95036,0.9505,0.95096,0.95216,0.95278,0.95274,0.9537,0.95472,0.95424,0.9548,0.95578,0.95586,0.95578,0.9574,0.9568,0.95726,0.95814,0.95778,0.95798,0.95856,0.95818,0.95838,0.95872,0.95924,0.95882,0.95834,0.95894,0.95924,0.95964,0.95996,0.96028,0.95948,0.95998,0.96018,0.96106,0.96046,0.96026,0.9603,0.96084,0.96118,0.95996,0.96058,0.96052,0.96044,0.95996,0.95992,0.961,0.96136,0.96134,0.96092,0.9618,0.96166,0.96172,0.96186,0.96196,0.9619,0.96148,0.96124,0.96128,0.9617,0.96146,0.96152,0.96244,0.9625,0.96228,0.9626,0.96248,0.96256,0.9624,0.96284,0.96272,0.96304,0.96252,0.96286,0.96266,0.9633,0.96302,0.96226,592.2965910434723
FDIPA,0.23111951,1,49,4,0.74078,0.8701,0.89856,0.91184,0.92178,0.92794,0.9317,0.93504,0.938,0.93998,0.94232,0.9438,0.94478,0.94656,0.94796,0.94788,0.9501,0.95098,0.95126,0.9519,0.95322,0.95274,0.9538,0.95458,0.95444,0.95472,0.95512,0.95652,0.95642,0.9566,0.95658,0.9568,0.9572,0.95806,0.95798,0.9581,0.9579,0.9582,0.95788,0.95934,0.95934,0.95864,0.95928,0.95968,0.96036,0.95998,0.9609,0.96002,0.96062,0.95978,0.96016,0.96076,0.96036,0.96044,0.96164,0.9603,0.9612,0.96182,0.96102,0.96236,0.96148,0.9614,0.96246,0.96132,0.96164,0.96204,0.96144,0.96128,0.96252,0.96244,0.96302,0.96242,0.9627,0.96248,0.96288,0.96234,0.96296,0.96264,0.96362,0.96324,0.96282,0.96346,0.96342,0.96234,0.96378,0.96406,0.96374,0.96312,0.96384,0.96444,0.9649,0.96468,0.96444,0.9647,0.96466,0.96416,0.96344,0.9646,0.96486,0.9637,717.1552743911743
FDIPA,0.23111951,1,49,5,0.27468,0.78696,0.86268,0.88834,0.9043,0.91304,0.9199,0.92624,0.93098,0.93448,0.93752,0.93948,0.94076,0.944,0.94512,0.9448,0.94728,0.9475,0.94842,0.94964,0.95052,0.95122,0.95192,0.95174,0.95288,0.9533,0.95344,0.95378,0.9536,0.95388,0.95606,0.95558,0.95574,0.9564,0.95608,0.95652,0.95756,0.95722,0.95796,0.9572,0.95892,0.9588,0.95946,0.95924,0.95868,0.95942,0.95946,0.96012,0.95994,0.95988,0.9602,0.96022,0.95994,0.9599,0.96126,0.96122,0.96138,0.96162,0.9616,0.96136,0.9617,0.9619,0.96152,0.96146,0.96282,0.96184,0.96254,0.96258,0.96228,0.96254,0.9617,0.96226,0.96316,0.9623,0.96244,0.96256,0.9624,0.9626,0.96246,0.96338,0.9631,0.96352,0.96334,0.96306,0.96304,0.9621,0.96364,0.96382,0.9637,0.96428,0.96458,0.9641,0.96428,0.9638,0.964,0.96408,0.96334,0.96352,0.96422,0.96446,534.9596381187439
FDIPA,0.23111951,1,49,6,0.82114,0.88998,0.90898,0.92146,0.9294,0.93532,0.93964,0.94336,0.94664,0.94876,0.95132,0.95224,0.95328,0.9548,0.95542,0.95572,0.95574,0.95662,0.95542,0.95712,0.95734,0.95802,0.9584,0.95804,0.9586,0.9583,0.95922,0.95878,0.95956,0.95944,0.95976,0.95986,0.9599,0.95988,0.9608,0.96058,0.96098,0.95934,0.96078,0.96128,0.95998,0.96144,0.96092,0.96136,0.96098,0.96088,0.96158,0.96214,0.96224,0.9619,0.96212,0.962,0.96262,0.9613,0.9628,0.96222,0.96196,0.96238,0.96272,0.96232,0.96328,0.96254,0.96248,0.96318,0.96312,0.9624,0.96324,0.96268,0.96304,0.96308,0.96272,0.96286,0.96288,0.96316,0.96316,0.96358,0.96346,0.96276,0.96292,0.96266,0.9632,0.96352,0.96334,0.96374,0.96424,0.9635,0.9641,0.96318,0.96316,0.96352,0.96368,0.96392,0.96402,0.96376,0.96372,0.96434,0.96466,0.9641,0.96348,0.96382,519.9783761501312
FDIPA,0.23111951,1,49,7,0.80446,0.88252,0.90476,0.9182,0.92662,0.93412,0.9379,0.94048,0.94522,0.9474,0.95,0.95086,0.9519,0.95288,0.9542,0.95446,0.95542,0.95538,0.95568,0.95714,0.95798,0.95784,0.95756,0.95672,0.95852,0.95796,0.9595,0.95938,0.95838,0.95958,0.95998,0.95992,0.9606,0.9612,0.95998,0.9616,0.96056,0.96114,0.96072,0.96144,0.96156,0.96134,0.96184,0.96208,0.96212,0.96128,0.96114,0.96198,0.96176,0.96186,0.96176,0.9623,0.96164,0.96212,0.96212,0.96188,0.96186,0.9625,0.96216,0.96244,0.96312,0.96352,0.96294,0.96358,0.96254,0.96266,0.96268,0.96266,0.96278,0.96294,0.96238,0.96282,0.96372,0.96306,0.96364,0.96276,0.96346,0.9635,0.96346,0.96348,0.96336,0.96322,0.96312,0.96352,0.96288,0.96406,0.96366,0.9628,0.96334,0.96374,0.9624,0.96288,0.96344,0.96338,0.96368,0.96396,0.96328,0.96384,0.9629,0.96298,523.6421205997467
FDIPA,0.23111951,1,49,8,0.82642,0.88294,0.90348,0.9153,0.92434,0.9305,0.9351,0.94004,0.94272,0.9453,0.94814,0.95018,0.95284,0.95362,0.95558,0.95636,0.95654,0.9583,0.95858,0.95866,0.95852,0.95924,0.9599,0.95892,0.95858,0.95956,0.95892,0.95928,0.9588,0.95968,0.95938,0.96034,0.95992,0.96014,0.95982,0.96032,0.9604,0.96058,0.9601,0.96046,0.96138,0.96076,0.96108,0.96058,0.96134,0.961,0.9619,0.96164,0.96142,0.96152,0.96206,0.96256,0.9616,0.96162,0.96226,0.9622,0.96262,0.96256,0.96358,0.96252,0.96368,0.96258,0.96232,0.96362,0.96362,0.96266,0.96272,0.96282,0.96386,0.96434,0.9639,0.96356,0.96338,0.96342,0.96322,0.96392,0.964,0.96386,0.96354,0.9642,0.96336,0.96374,0.96384,0.96474,0.9641,0.96378,0.96488,0.96478,0.9639,0.96432,0.96392,0.96494,0.96428,0.96446,0.96386,0.9644,0.96416,0.9646,0.96484,0.96442,522.7386662960052
FDIPA,0.23111951,1,49,9,0.72396,0.85586,0.8859,0.90332,0.91524,0.9237,0.9288,0.93378,0.93666,0.93898,0.94114,0.9431,0.94422,0.9457,0.94686,0.94822,0.94828,0.9493,0.9499,0.95194,0.95218,0.9525,0.95316,0.95404,0.95466,0.95498,0.95478,0.95608,0.9554,0.95634,0.95528,0.95616,0.9565,0.95772,0.9576,0.95708,0.9586,0.95752,0.95852,0.95936,0.95826,0.95912,0.95872,0.95932,0.9595,0.95956,0.95996,0.96012,0.95934,0.9606,0.96028,0.96026,0.95952,0.96004,0.96088,0.95942,0.96078,0.96118,0.96104,0.96134,0.96124,0.96062,0.96106,0.96126,0.9619,0.96116,0.96136,0.96134,0.96214,0.96196,0.9625,0.96238,0.96166,0.96224,0.96228,0.9613,0.96194,0.96196,0.96278,0.96258,0.96192,0.96242,0.96242,0.96258,0.96312,0.96272,0.96282,0.96286,0.96342,0.96276,0.9632,0.96332,0.96204,0.96328,0.9634,0.96308,0.9636,0.96302,0.96332,0.96332,518.6576173305511
