metodo,passo_inicial,iteracoes,raio,semente,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,tempo
FDIPA,0.23111951,2,2,0,0.1071,0.1057,0.0942,0.0925,0.1057,0.0942,0.0978,0.0925,0.0996,0.1126,0.0968,0.0925,0.1071,0.1071,0.0927,0.0978,0.0942,0.1071,0.1126,0.1126,0.1126,0.1126,0.1071,0.1057,0.0927,0.0925,0.1057,0.101,0.1071,0.0927,0.1071,0.1057,0.1126,0.0942,0.1071,0.0927,0.1071,0.0927,0.0996,0.1071,0.1057,0.1071,0.0927,0.1126,0.0996,0.0996,0.1126,0.1071,0.1071,0.1057,0.101,0.1057,0.0978,0.0942,0.1071,0.1057,0.0942,0.0942,0.0996,0.1126,0.1057,0.1126,0.0942,0.0968,0.0942,0.1126,0.1126,0.1071,0.0942,0.0942,0.0942,0.0968,0.0978,0.0927,0.1071,0.1071,0.1057,0.1126,0.1057,0.0978,0.0968,0.101,0.1057,0.0942,0.0942,0.0996,0.0968,0.1126,0.0968,0.1126,0.0925,0.0968,0.0968,0.101,0.0927,0.101,0.101,0.0996,0.1126,0.1126,1044.3385162353516
FDIPA,0.23111951,2,2,1,0.1023,0.1023,0.0955,0.1016,0.1016,0.0955,0.1023,0.1006,0.1023,0.1137,0.1023,0.1017,0.1137,0.1037,0.0955,0.1023,0.1037,0.0891,0.1037,0.1137,0.1016,0.1002,0.1023,0.1023,0.0916,0.0916,0.1023,0.1037,0.1002,0.1137,0.0891,0.0955,0.0955,0.1137,0.1137,0.1002,0.1002,0.1016,0.1137,0.1002,0.1023,0.1023,0.1037,0.1137,0.1037,0.1017,0.1023,0.1002,0.0955,0.1017,0.1016,0.0955,0.1137,0.1016,0.1137,0.1006,0.0916,0.1137,0.0891,0.1006,0.1137,0.1016,0.1023,0.0955,0.1023,0.0955,0.1137,0.1006,0.1023,0.1002,0.1137,0.1002,0.1023,0.1037,0.0916,0.1137,0.1023,0.1023,0.0955,0.0955,0.1006,0.1017,0.1017,0.0955,0.1137,0.1016,0.1016,0.1137,0.1137,0.1137,0.1137,0.1137,0.1023,0.1137,0.1137,0.1037,0.1017,0.1137,0.1002,0.1017,1021.0566527843475
FDIPA,0.23111951,2,2,2,0.1127,0.1021,0.1052,0.0954,0.0954,0.1056,0.0954,0.0954,0.0905,0.095,0.0954,0.095,0.0994,0.0994,0.096,0.0981,0.1127,0.1021,0.0994,0.096,0.1127,0.0981,0.1127,0.1127,0.1127,0.0994,0.0954,0.0981,0.0994,0.1021,0.0954,0.1127,0.1127,0.096,0.0954,0.0981,0.1021,0.095,0.1052,0.1052,0.1127,0.1021,0.1127,0.1021,0.1127,0.095,0.0994,0.096,0.1052,0.095,0.0954,0.0905,0.1021,0.095,0.095,0.096,0.1052,0.1056,0.0954,0.0905,0.0994,0.1052,0.0954,0.1021,0.1052,0.1021,0.1052,0.1127,0.1127,0.0981,0.0954,0.1021,0.1052,0.0981,0.0981,0.0981,0.1127,0.1052,0.1021,0.1052,0.0905,0.0994,0.0994,0.096,0.0905,0.1056,0.1056,0.096,0.0981,0.1127,0.096,0.096,0.0905,0.1127,0.095,0.1127,0.0905,0.1056,0.1127,0.0981,1020.5034184455872
FDIPA,0.23111951,2,2,3,0.1146,0.0982,0.0981,0.0988,0.0981,0.0981,0.0981,0.0981,0.0975,0.1043,0.0981,0.0982,0.0982,0.1146,0.0975,0.1146,0.1146,0.0982,0.1038,0.0984,0.1146,0.0982,0.0975,0.1038,0.0984,0.0988,0.0982,0.0981,0.0975,0.1146,0.0982,0.0988,0.0898,0.0988,0.1146,0.0984,0.1043,0.0975,0.1038,0.1043,0.1043,0.0982,0.0984,0.0984,0.0984,0.1038,0.0975,0.1146,0.1038,0.0984,0.0988,0.1146,0.1146,0.1146,0.0975,0.0965,0.0965,0.0965,0.1043,0.1146,0.0982,0.0982,0.1146,0.0988,0.0975,0.1043,0.0898,0.1146,0.0984,0.0981,0.0975,0.0981,0.1146,0.1038,0.1146,0.0975,0.1043,0.1043,0.0988,0.1038,0.0982,0.0984,0.1043,0.1146,0.1038,0.0988,0.0982,0.0984,0.0982,0.1146,0.1146,0.0981,0.0988,0.1043,0.0981,0.1043,0.1146,0.0982,0.0965,0.1146,1022.3508529663086
FDIPA,0.23111951,2,2,4,0.1018,0.0962,0.102,0.0962,0.105,0.1054,0.0984,0.105,0.1139,0.1018,0.1139,0.105,0.102,0.1139,0.1054,0.1139,0.1004,0.1139,0.1139,0.0984,0.1004,0.1139,0.1139,0.105,0.1054,0.1139,0.1139,0.0962,0.102,0.1018,0.1139,0.1139,0.1018,0.1054,0.102,0.1139,0.1139,0.0851,0.1139,0.1004,0.0962,0.0962,0.1139,0.1054,0.0918,0.105,0.105,0.1054,0.102,0.105,0.0851,0.1018,0.0851,0.1018,0.1018,0.1139,0.1018,0.1054,0.1018,0.0962,0.0851,0.0962,0.0962,0.1139,0.102,0.0918,0.102,0.1004,0.1139,0.1018,0.0984,0.1139,0.1139,0.105,0.102,0.0962,0.1139,0.105,0.105,0.102,0.1004,0.1139,0.105,0.1139,0.0918,0.1139,0.1139,0.105,0.0984,0.1139,0.105,0.0851,0.105,0.0918,0.1139,0.1139,0.1139,0.1139,0.105,0.0851,1024.071204662323
FDIPA,0.23111951,2,2,5,0.1005,0.0996,0.0987,0.1122,0.096,0.105,0.1005,0.1122,0.096,0.096,0.0986,0.0917,0.0986,0.0917,0.0996,0.0917,0.0986,0.0986,0.0986,0.1122,0.1122,0.096,0.1005,0.1122,0.1003,0.1122,0.0996,0.1003,0.1122,0.0917,0.1122,0.1003,0.1003,0.105,0.0974,0.1122,0.1122,0.1003,0.0996,0.0987,0.1005,0.0987,0.1003,0.1122,0.1122,0.1003,0.0996,0.1003,0.1122,0.1003,0.1122,0.0974,0.105,0.1003,0.1003,0.0987,0.0986,0.0917,0.105,0.105,0.0987,0.1122,0.0996,0.0996,0.096,0.0986,0.0987,0.0987,0.105,0.0987,0.0974,0.105,0.1003,0.1003,0.096,0.1005,0.0917,0.096,0.0996,0.1005,0.1003,0.1005,0.1003,0.1122,0.105,0.0996,0.0996,0.0996,0.1005,0.0917,0.105,0.0974,0.1122,0.0974,0.0996,0.1003,0.0974,0.1122,0.0917,0.105,1023.575136423111
FDIPA,0.23111951,2,2,6,0.1008,0.0999,0.0988,0.1,0.098,0.1,0.1008,0.1002,0.1132,0.1,0.1132,0.1008,0.098,0.1002,0.1014,0.0991,0.0991,0.1132,0.0999,0.0886,0.1132,0.0991,0.1,0.098,0.0991,0.0988,0.098,0.0991,0.1002,0.1008,0.098,0.1132,0.098,0.1132,0.0991,0.0991,0.1008,0.1132,0.1132,0.1008,0.1002,0.1,0.1,0.0991,0.1008,0.1002,0.0991,0.1014,0.1008,0.1008,0.1008,0.1132,0.098,0.1,0.0886,0.1,0.098,0.1002,0.1132,0.1132,0.1008,0.1132,0.1132,0.0886,0.0991,0.0988,0.1,0.1002,0.098,0.1132,0.0988,0.0988,0.0988,0.0991,0.0988,0.1132,0.0988,0.098,0.0999,0.1002,0.1132,0.0991,0.1008,0.0988,0.1132,0.098,0.0988,0.1132,0.0991,0.1008,0.1008,0.0999,0.1008,0.098,0.1132,0.0988,0.1132,0.1014,0.1008,0.1,1020.9390487670898
FDIPA,0.23111951,2,2,7,0.1139,0.0956,0.1139,0.1002,0.1019,0.0956,0.1019,0.0945,0.0956,0.1002,0.1019,0.0951,0.1019,0.1002,0.1053,0.1053,0.0956,0.1139,0.1139,0.0951,0.1139,0.1053,0.1053,0.1019,0.1002,0.1033,0.0951,0.1139,0.0956,0.1033,0.0999,0.1053,0.1002,0.0951,0.1033,0.1139,0.1033,0.1053,0.0945,0.0956,0.1139,0.1139,0.1139,0.0951,0.1139,0.1019,0.0999,0.0951,0.1033,0.0999,0.1053,0.0945,0.0903,0.1033,0.0999,0.1053,0.0951,0.0999,0.1019,0.1033,0.1053,0.0999,0.0956,0.1139,0.0999,0.1053,0.1053,0.1033,0.1019,0.1139,0.0951,0.1019,0.0945,0.1019,0.0945,0.1139,0.1053,0.0903,0.1019,0.0945,0.1019,0.1053,0.1139,0.1019,0.1033,0.1019,0.1033,0.0945,0.1139,0.1019,0.0951,0.1033,0.0945,0.0945,0.1139,0.0945,0.0951,0.1139,0.1053,0.1002,1001.7564735412598
FDIPA,0.23111951,2,2,8,0.105,0.1139,0.1039,0.0983,0.1139,0.0974,0.0892,0.1139,0.0974,0.0974,0.0991,0.0991,0.0983,0.1039,0.0991,0.0991,0.0974,0.0991,0.0983,0.1139,0.0998,0.0974,0.0974,0.105,0.0974,0.1039,0.1139,0.1039,0.096,0.0991,0.1139,0.0974,0.1139,0.0991,0.1039,0.0991,0.1139,0.105,0.096,0.105,0.1039,0.1139,0.105,0.0998,0.1139,0.0892,0.0974,0.096,0.0983,0.0991,0.0892,0.0974,0.096,0.096,0.1039,0.0974,0.0983,0.1139,0.1039,0.0974,0.0983,0.105,0.0974,0.1039,0.0974,0.0974,0.105,0.1039,0.1139,0.1139,0.1139,0.105,0.0974,0.105,0.0991,0.0991,0.096,0.0983,0.096,0.1139,0.096,0.0974,0.1039,0.0974,0.0991,0.0998,0.0991,0.0974,0.096,0.105,0.1139,0.105,0.0998,0.0974,0.096,0.0974,0.0983,0.1139,0.0892,0.0983,1133.5702645778656
FDIPA,0.23111951,2,2,9,0.1133,0.101,0.101,0.101,0.0924,0.101,0.1133,0.0924,0.101,0.0951,0.0957,0.1027,0.1027,0.101,0.0957,0.0957,0.1133,0.101,0.101,0.0994,0.1133,0.0951,0.1133,0.1027,0.1073,0.1133,0.1073,0.0957,0.0994,0.1073,0.0951,0.0926,0.0951,0.1133,0.0951,0.1133,0.0951,0.1133,0.1027,0.0994,0.1073,0.0957,0.0951,0.101,0.0926,0.1005,0.101,0.0951,0.0951,0.0994,0.1133,0.0957,0.0951,0.1133,0.1133,0.0926,0.0957,0.1027,0.1027,0.1133,0.101,0.1133,0.1005,0.1073,0.0951,0.0951,0.0926,0.0951,0.101,0.1133,0.1005,0.1133,0.1005,0.1027,0.101,0.0994,0.1133,0.0994,0.1027,0.1005,0.0994,0.0926,0.1027,0.1073,0.1073,0.1133,0.0994,0.1005,0.0951,0.1027,0.101,0.0924,0.101,0.0951,0.0924,0.1073,0.0951,0.1133,0.101,0.0957,721.2763051986694
