metodo,passo_inicial,iteracoes,raio,semente,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,tempo
FDIPA,0.23111951,2,2,0,0.1048,0.10122,0.1017,0.09008,0.10122,0.1017,0.09824,0.09008,0.09676,0.11276,0.09838,0.09008,0.1048,0.1048,0.09822,0.09824,0.1017,0.1048,0.11276,0.11276,0.11276,0.11276,0.1048,0.10122,0.09822,0.09008,0.10122,0.09784,0.1048,0.09822,0.1048,0.10122,0.11276,0.1017,0.1048,0.09822,0.1048,0.09822,0.09676,0.1048,0.10122,0.1048,0.09822,0.11276,0.09676,0.09676,0.11276,0.1048,0.1048,0.10122,0.09784,0.10122,0.09824,0.1017,0.1048,0.10122,0.1017,0.1017,0.09676,0.11276,0.10122,0.11276,0.1017,0.09838,0.1017,0.11276,0.11276,0.1048,0.1017,0.1017,0.1017,0.09838,0.09824,0.09822,0.1048,0.1048,0.10122,0.11276,0.10122,0.09824,0.09838,0.09784,0.10122,0.1017,0.1017,0.09676,0.09838,0.11276,0.09838,0.11276,0.09008,0.09838,0.09838,0.09784,0.09822,0.09784,0.09784,0.09676,0.11276,0.11276,1044.3385162353516
FDIPA,0.23111951,2,2,1,0.10192,0.10192,0.10042,0.0986,0.0986,0.10042,0.10192,0.09706,0.10192,0.11396,0.10192,0.1033,0.11396,0.09728,0.10042,0.10192,0.09728,0.09934,0.09728,0.11396,0.0986,0.09832,0.10192,0.10192,0.0898,0.0898,0.10192,0.09728,0.09832,0.11396,0.09934,0.10042,0.10042,0.11396,0.11396,0.09832,0.09832,0.0986,0.11396,0.09832,0.10192,0.10192,0.09728,0.11396,0.09728,0.1033,0.10192,0.09832,0.10042,0.1033,0.0986,0.10042,0.11396,0.0986,0.11396,0.09706,0.0898,0.11396,0.09934,0.09706,0.11396,0.0986,0.10192,0.10042,0.10192,0.10042,0.11396,0.09706,0.10192,0.09832,0.11396,0.09832,0.10192,0.09728,0.0898,0.11396,0.10192,0.10192,0.10042,0.10042,0.09706,0.1033,0.1033,0.10042,0.11396,0.0986,0.0986,0.11396,0.11396,0.11396,0.11396,0.11396,0.10192,0.11396,0.11396,0.09728,0.1033,0.11396,0.09832,0.1033,1021.0566527843475
FDIPA,0.23111951,2,2,2,0.11198,0.10238,0.10232,0.09776,0.09776,0.0971,0.09776,0.09776,0.09008,0.10116,0.09776,0.10116,0.0992,0.0992,0.09968,0.09834,0.11198,0.10238,0.0992,0.09968,0.11198,0.09834,0.11198,0.11198,0.11198,0.0992,0.09776,0.09834,0.0992,0.10238,0.09776,0.11198,0.11198,0.09968,0.09776,0.09834,0.10238,0.10116,0.10232,0.10232,0.11198,0.10238,0.11198,0.10238,0.11198,0.10116,0.0992,0.09968,0.10232,0.10116,0.09776,0.09008,0.10238,0.10116,0.10116,0.09968,0.10232,0.0971,0.09776,0.09008,0.0992,0.10232,0.09776,0.10238,0.10232,0.10238,0.10232,0.11198,0.11198,0.09834,0.09776,0.10238,0.10232,0.09834,0.09834,0.09834,0.11198,0.10232,0.10238,0.10232,0.09008,0.0992,0.0992,0.09968,0.09008,0.0971,0.0971,0.09968,0.09834,0.11198,0.09968,0.09968,0.09008,0.11198,0.10116,0.11198,0.09008,0.0971,0.11198,0.09834,1020.5034184455872
FDIPA,0.23111951,2,2,3,0.11244,0.09926,0.09918,0.09726,0.09918,0.09918,0.09918,0.09918,0.09894,0.10414,0.09918,0.09926,0.09926,0.11244,0.09894,0.11244,0.11244,0.09926,0.09814,0.10252,0.11244,0.09926,0.09894,0.09814,0.10252,0.09726,0.09926,0.09918,0.09894,0.11244,0.09926,0.09726,0.08988,0.09726,0.11244,0.10252,0.10414,0.09894,0.09814,0.10414,0.10414,0.09926,0.10252,0.10252,0.10252,0.09814,0.09894,0.11244,0.09814,0.10252,0.09726,0.11244,0.11244,0.11244,0.09894,0.09824,0.09824,0.09824,0.10414,0.11244,0.09926,0.09926,0.11244,0.09726,0.09894,0.10414,0.08988,0.11244,0.10252,0.09918,0.09894,0.09918,0.11244,0.09814,0.11244,0.09894,0.10414,0.10414,0.09726,0.09814,0.09926,0.10252,0.10414,0.11244,0.09814,0.09726,0.09926,0.10252,0.09926,0.11244,0.11244,0.09918,0.09726,0.10414,0.09918,0.10414,0.11244,0.09926,0.09824,0.11244,1022.3508529663086
FDIPA,0.23111951,2,2,4,0.10134,0.09804,0.10562,0.09804,0.09798,0.09902,0.09778,0.09798,0.1124,0.10134,0.1124,0.09798,0.10562,0.1124,0.09902,0.1124,0.09818,0.1124,0.1124,0.09778,0.09818,0.1124,0.1124,0.09798,0.09902,0.1124,0.1124,0.09804,0.10562,0.10134,0.1124,0.1124,0.10134,0.09902,0.10562,0.1124,0.1124,0.09106,0.1124,0.09818,0.09804,0.09804,0.1124,0.09902,0.09858,0.09798,0.09798,0.09902,0.10562,0.09798,0.09106,0.10134,0.09106,0.10134,0.10134,0.1124,0.10134,0.09902,0.10134,0.09804,0.09106,0.09804,0.09804,0.1124,0.10562,0.09858,0.10562,0.09818,0.1124,0.10134,0.09778,0.1124,0.1124,0.09798,0.10562,0.09804,0.1124,0.09798,0.09798,0.10562,0.09818,0.1124,0.09798,0.1124,0.09858,0.1124,0.1124,0.09798,0.09778,0.1124,0.09798,0.09106,0.09798,0.09858,0.1124,0.1124,0.1124,0.1124,0.09798,0.09106,1024.071204662323
FDIPA,0.23111951,2,2,5,0.09942,0.09928,0.09704,0.11218,0.09752,0.1035,0.09942,0.11218,0.09752,0.09752,0.10056,0.09024,0.10056,0.09024,0.09928,0.09024,0.10056,0.10056,0.10056,0.11218,0.11218,0.09752,0.09942,0.11218,0.10152,0.11218,0.09928,0.10152,0.11218,0.09024,0.11218,0.10152,0.10152,0.1035,0.09874,0.11218,0.11218,0.10152,0.09928,0.09704,0.09942,0.09704,0.10152,0.11218,0.11218,0.10152,0.09928,0.10152,0.11218,0.10152,0.11218,0.09874,0.1035,0.10152,0.10152,0.09704,0.10056,0.09024,0.1035,0.1035,0.09704,0.11218,0.09928,0.09928,0.09752,0.10056,0.09704,0.09704,0.1035,0.09704,0.09874,0.1035,0.10152,0.10152,0.09752,0.09942,0.09024,0.09752,0.09928,0.09942,0.10152,0.09942,0.10152,0.11218,0.1035,0.09928,0.09928,0.09928,0.09942,0.09024,0.1035,0.09874,0.11218,0.09874,0.09928,0.10152,0.09874,0.11218,0.09024,0.1035,1023.575136423111
FDIPA,0.23111951,2,2,6,0.10472,0.09772,0.10344,0.09744,0.0991,0.09744,0.10472,0.09822,0.11222,0.09744,0.11222,0.10472,0.0991,0.09822,0.09738,0.1,0.1,0.11222,0.09772,0.08976,0.11222,0.1,0.09744,0.0991,0.1,0.10344,0.0991,0.1,0.09822,0.10472,0.0991,0.11222,0.0991,0.11222,0.1,0.1,0.10472,0.11222,0.11222,0.10472,0.09822,0.09744,0.09744,0.1,0.10472,0.09822,0.1,0.09738,0.10472,0.10472,0.10472,0.11222,0.0991,0.09744,0.08976,0.09744,0.0991,0.09822,0.11222,0.11222,0.10472,0.11222,0.11222,0.08976,0.1,0.10344,0.09744,0.09822,0.0991,0.11222,0.10344,0.10344,0.10344,0.1,0.10344,0.11222,0.10344,0.0991,0.09772,0.09822,0.11222,0.1,0.10472,0.10344,0.11222,0.0991,0.10344,0.11222,0.1,0.10472,0.10472,0.09772,0.10472,0.0991,0.11222,0.10344,0.11222,0.09738,0.10472,0.09744,1020.9390487670898
FDIPA,0.23111951,2,2,7,0.11186,0.09826,0.11186,0.09816,0.10554,0.09826,0.10554,0.09908,0.09826,0.09816,0.10554,0.09856,0.10554,0.09816,0.10284,0.10284,0.09826,0.11186,0.11186,0.09856,0.11186,0.10284,0.10284,0.10554,0.09816,0.0991,0.09856,0.11186,0.09826,0.0991,0.09646,0.10284,0.09816,0.09856,0.0991,0.11186,0.0991,0.10284,0.09908,0.09826,0.11186,0.11186,0.11186,0.09856,0.11186,0.10554,0.09646,0.09856,0.0991,0.09646,0.10284,0.09908,0.09014,0.0991,0.09646,0.10284,0.09856,0.09646,0.10554,0.0991,0.10284,0.09646,0.09826,0.11186,0.09646,0.10284,0.10284,0.0991,0.10554,0.11186,0.09856,0.10554,0.09908,0.10554,0.09908,0.11186,0.10284,0.09014,0.10554,0.09908,0.10554,0.10284,0.11186,0.10554,0.0991,0.10554,0.0991,0.09908,0.11186,0.10554,0.09856,0.0991,0.09908,0.09908,0.11186,0.09908,0.09856,0.11186,0.10284,0.09816,1001.7564735412598
FDIPA,0.23111951,2,2,8,0.09904,0.11228,0.10224,0.09854,0.11228,0.09804,0.09032,0.11228,0.09888,0.09804,0.104,0.104,0.09854,0.10224,0.104,0.104,0.09804,0.104,0.09854,0.11228,0.09924,0.09804,0.09888,0.09904,0.09888,0.10224,0.11228,0.10224,0.09742,0.104,0.11228,0.09804,0.11228,0.104,0.10224,0.104,0.11228,0.09904,0.09742,0.09904,0.10224,0.11228,0.09904,0.09924,0.11228,0.09032,0.09804,0.09742,0.09854,0.104,0.09032,0.09804,0.09742,0.09742,0.10224,0.09804,0.09854,0.11228,0.10224,0.09804,0.09854,0.09904,0.09804,0.10224,0.09888,0.09888,0.09904,0.10224,0.11228,0.11228,0.11228,0.09904,0.09804,0.09904,0.104,0.104,0.09742,0.09854,0.09742,0.11228,0.09742,0.09888,0.10224,0.09888,0.104,0.09924,0.104,0.09804,0.09742,0.09904,0.11228,0.09904,0.09924,0.09888,0.09742,0.09804,0.09854,0.11228,0.09032,0.09854,1133.5702645778656
FDIPA,0.23111951,2,2,9,0.11202,0.10054,0.10054,0.10054,0.09018,0.10054,0.11202,0.09018,0.10054,0.10018,0.09826,0.1019,0.1019,0.10054,0.09826,0.09826,0.11202,0.10054,0.10054,0.09678,0.11202,0.10018,0.11202,0.1019,0.10336,0.11202,0.10336,0.09826,0.09678,0.10336,0.10018,0.09854,0.10018,0.11202,0.10018,0.11202,0.10018,0.11202,0.1019,0.09678,0.10336,0.09826,0.10018,0.10054,0.09854,0.09824,0.10054,0.10018,0.10018,0.09678,0.11202,0.09826,0.10018,0.11202,0.11202,0.09854,0.09826,0.1019,0.1019,0.11202,0.10054,0.11202,0.09824,0.10336,0.10018,0.10018,0.09854,0.10018,0.10054,0.11202,0.09824,0.11202,0.09824,0.1019,0.10054,0.09678,0.11202,0.09678,0.1019,0.09824,0.09678,0.09854,0.1019,0.10336,0.10336,0.11202,0.09678,0.09824,0.10018,0.1019,0.10054,0.09018,0.10054,0.10018,0.09018,0.10336,0.10018,0.11202,0.10054,0.09826,721.2763051986694
